 42 ;number of following comments lines before data start
;A description of the construction of the composite can be found in:
;(1) C.Fr\"ohlich and J. Lean, 1998, "Total Solar Irradiance Variations",
;  in: F.L.Deubner et al., Eds., "New Eyes to see inside the Sun and Stars", 
;  Proceedings IAU Symposium 185, Kyoto, August 1997, Kluwer Academic Publ., 
;  Dordrecht, The Netherlands, pp. 89-102 (up to version 3), in:
;(2) C.Fr\"ohlich and J. Lean, 1998, "The Suns Total Irradiance: Cycles, 
;  Trends and Related Climate Change Uncertainties since 1978", 
;  Geophys.Res.Let., 25, pp.  4377-4380, 1998 (up to version 8) and in:
;(3) C.Fr\"ohlich, 2000, "Observations of Irradiance Variations, 
;  Space Science Rev., 94, pp. 15-24 (up to version 18)
;(4) C. Fr\"ohlich, 2003, "Long-Term Behaviour of Space Radiometers", 
;  Metrologia, 40, in press (up to version 24), 
;(5) C. Fr\"ohlich, 2003, "Solar Irradiance Variability", in: Chapter 2 of 
;  Geophysical Monograph Series, 111, American Geophysical Union, in press 
;  (since version 25).
;
;This dataset is freely available with one restriction:
;  If you use the data or some product based on the data in a published 
;  paper refer to Ref2 (the 'standard' description) and acknowlege receipt of the 
;  dataset (mention version used) from PMOD/WRC, Davos, Switzerland,
;  and acknowledge "unpublished data from the VIRGO Experiment on the cooperative 
;  ESA/NASA Mission SoHO"
;
;The composite listed below is version d25_07_0310a in file composite_d25_07_0310a.dat
;  and the file was created on Oct 06 2003
;
;Comments for versions >d19:
;  Improved algorithm for calculation of VIRGO level 2 (version >4.50).
;  ACRIM II data are used to fill the gap during the SOHO Vacations in 1998 and 
;  early 1999. The version means: 'd25': version of composite algorithm (corrections 
;  for the radiometers other than VIRGO, as described in Ref5), '05_0301': is 
;  the last part of the VIRGO version (5_007_0310a) used to update the composite 
;  until 01-10-2003 (for details about VIRGO radiometry see Ref4).
;  Virgo versions 5_006 and higher have slightly different linear corrections after the 
;  SoHO vacations, for details see http://www.pmodwrc.ch/pmod.php?topic=tsi/virgo/proj_space_virgo.
;  UARS/ACRIM is version II:101001 available from http://acrim.com/Data%20Products.htm.
;Description of columns: 
;  1st col: date as YYMMDD
;  2nd col: day of epoch 0 Jan 1980 (1 corresponds to 1-Jan-1980)
;  3rd col: average irradiance in W/m2 (over period of day), no data: -99.
;  format: (1X,I6.6,F9.2,F11.4)
;$ Data:
 781116  -409.50   -99.0000
 781117  -408.50  1365.3416
 781118  -407.50  1365.2366
 781119  -406.50   -99.0000
 781120  -405.50  1365.9519
 781121  -404.50  1366.0666
 781122  -403.50  1366.0622
 781123  -402.50   -99.0000
 781124  -401.50  1365.8954
 781125  -400.50  1366.2796
 781126  -399.50  1366.4653
 781127  -398.50   -99.0000
 781128  -397.50  1365.8931
 781129  -396.50  1366.1491
 781130  -395.50  1366.2862
 781201  -394.50   -99.0000
 781202  -393.50  1365.8453
 781203  -392.50  1365.9035
 781204  -391.50  1365.8726
 781205  -390.50   -99.0000
 781206  -389.50  1366.0400
 781207  -388.50  1366.5266
 781208  -387.50  1366.5164
 781209  -386.50   -99.0000
 781210  -385.50  1364.5687
 781211  -384.50  1364.5293
 781212  -383.50  1364.4902
 781213  -382.50   -99.0000
 781214  -381.50  1364.4226
 781215  -380.50  1365.3882
 781216  -379.50  1365.9463
 781217  -378.50   -99.0000
 781218  -377.50  1365.4828
 781219  -376.50  1365.8924
 781220  -375.50  1366.0438
 781221  -374.50   -99.0000
 781222  -373.50  1365.4824
 781223  -372.50  1366.1314
 781224  -371.50  1366.3532
 781225  -370.50   -99.0000
 781226  -369.50  1366.2306
 781227  -368.50  1366.6020
 781228  -367.50  1366.6456
 781229  -366.50   -99.0000
 781230  -365.50  1365.6595
 781231  -364.50  1365.8427
 790101  -363.50  1366.0062
 790102  -362.50   -99.0000
 790103  -361.50  1365.7471
 790104  -360.50  1366.6268
 790105  -359.50  1366.7113
 790106  -358.50   -99.0000
 790107  -357.50  1366.4534
 790108  -356.50  1366.7571
 790109  -355.50  1366.4844
 790110  -354.50   -99.0000
 790111  -353.50  1365.9989
 790112  -352.50  1366.8499
 790113  -351.50  1366.8363
 790114  -350.50   -99.0000
 790115  -349.50  1366.2425
 790116  -348.50  1366.6269
 790117  -347.50  1366.8423
 790118  -346.50   -99.0000
 790119  -345.50  1365.9414
 790120  -344.50  1366.4554
 790121  -343.50  1366.1445
 790122  -342.50   -99.0000
 790123  -341.50  1365.5824
 790124  -340.50   -99.0000
 790125  -339.50  1366.0152
 790126  -338.50   -99.0000
 790127  -337.50  1366.1301
 790128  -336.50   -99.0000
 790129  -335.50  1366.7625
 790130  -334.50   -99.0000
