Year,Value,Longitude,Latitude,archiveType,ID,VariableName,Depth,Thickness
1959.374,0.25,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1959.54,0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1959.706,0.3,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1959.872,0.26,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1960.042,0.25,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1960.208,0.29,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1960.374,0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1960.54,0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1960.706,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1960.872,0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1961.042,0.18,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1961.208,0.33,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1961.374,0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1961.54,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1961.706,0.37,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1961.872,0.15,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1962.042,0.32,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1962.208,0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1962.374,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1962.54,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1962.706,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1962.872,0.2,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1963.042,0.4,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
1963.208,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
1963.374,0.13,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1963.54,0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
1963.706,0.1,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
