Search Parameters,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
"[""111 <= Year >= 2011"",""-30 <= Latitude >= 30""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.603,44.098,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
,416,,,39,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,,W,,1,,,,,,1,,,,3,,,,,,4,,
,500,,,,,"Arhab, Harra of",Arabia-S,Yemen,15.603,44.098,3100,Volcanic field,,,,,,,,,,1,,,,,,,,,,1,,
,640,,,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1920,Volcanic field,2,T,,1,,,,,,,,,,1,,,,,,,,
,653,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.046,150.1,408,Caldera,6,,,,,,,,,,,,,,,,,,,,,
,683,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,6,,,,,,,,,1,,,,,,,,,,,,
,710,,,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.575,150.516,724,Caldera,6,,,,,,,,,,,,,,,,,,,,,
,1250,,,,,Fentale,Africa-NE,Ethiopia,8.985,39.906,2007,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
,1311,,,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1334,,,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,M,,1,,,,,,,,,,1,,,,,,,,
,1376,,,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1385,,,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1430,,,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.83,168.523,-2,Caldera,,P,,3,,,,,,,,,,3,,,,,,,,
,1550,11,,,,Dukono,Halmahera-Indonesia,Indonesia,1.699,127.878,1273,Complex volcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1550,,,5863,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1564,12,31,,,Gamkonora,Halmahera-Indonesia,Indonesia,1.38,127.53,1635,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1568,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,485,Stratovolcano,3,"P,T,M",1001,4,,,,,,,,,1001,4,,,,,,,,
